Magnetometer,version=1,hw_revision=1,timescale=1000000
Type,Mode,Timestamp(sec),x,y,z
3,1,65.047,16.51763916015625,-19.9798583984375,-9.539794921875
3,1,65.245,15.01617431640625,-19.085693359375,-12.34893798828125
3,1,65.452,16.7083740234375,-19.28253173828125,-11.02752685546875
3,1,65.648,18.359375,-18.719482421875,-9.70611572265625
3,1,65.851,14.3798828125,-21.40960693359375,-13.34075927734375
3,1,66.051,16.412353515625,-19.45343017578125,-9.375
3,1,66.253,13.32244873046875,-21.6278076171875,-13.34075927734375
3,1,66.45399999999999,14.0625,-19.83184814453125,-13.50555419921875
3,1,66.657,14.33868408203125,-20.6512451171875,-14.00146484375
3,1,66.858,13.153076171875,-18.597412109375,-15.3228759765625
3,1,67.06,17.00439453125,-19.11163330078125,-10.3668212890625
3,1,67.274,11.8621826171875,-21.4935302734375,-15.81878662109375
3,1,67.46299999999999,15.45867919921875,-22.93548583984375,-13.17596435546875
3,1,67.67100000000001,12.22076416015625,-21.0906982421875,-13.34075927734375
3,1,67.86799999999999,17.57659912109375,-19.75860595703125,-11.5234375
3,1,68.066,14.4012451171875,-20.4193115234375,-13.50555419921875
3,1,68.26900000000001,13.299560546875,-19.88067626953125,-14.166259765625
3,1,68.477,10.443115234375,-19.378662109375,-15.3228759765625
3,1,68.669,15.5242919921875,-19.96612548828125,-11.02752685546875
3,1,68.871,17.9351806640625,-22.09320068359375,-10.03570556640625
3,1,69.072,14.3157958984375,-18.90411376953125,-14.8284912109375
3,1,69.274,14.93072509765625,-20.3094482421875,-12.6800537109375
3,1,69.47499999999999,11.9873046875,-18.292236328125,-17.1417236328125
3,1,69.67700000000001,13.27972412109375,-20.8709716796875,-12.34893798828125
3,1,69.878,13.25836181640625,-21.86126708984375,-15.48919677734375
3,1,70.08,15.88287353515625,-19.56329345703125,-10.5316162109375
3,1,70.283,17.53387451171875,-21.7376708984375,-8.87908935546875
3,1,70.482,17.7032470703125,-22.0306396484375,-11.85302734375
3,1,70.684,15.3961181640625,-20.4315185546875,-11.358642578125
3,1,70.88500000000001,10.82305908203125,-20.7244873046875,-16.314697265625
3,1,71.086,14.14642333984375,-21.34857177734375,-13.17596435546875
3,1,71.288,15.54412841796875,-21.71478271484375,-13.836669921875
3,1,71.489,12.9608154296875,-19.29473876953125,-13.17596435546875
3,1,71.691,18.2952880859375,-21.6888427734375,-12.18414306640625
3,1,71.892,12.98370361328125,-21.0418701171875,-14.00146484375
3,1,72.096,11.395263671875,-21.37298583984375,-16.4794921875
3,1,72.295,13.59710693359375,-22.44873046875,-14.166259765625
3,1,72.498,14.1693115234375,-20.35675048828125,-12.6800537109375
3,1,72.699,12.432861328125,-22.14202880859375,-14.00146484375
3,1,72.90300000000001,15.4815673828125,-19.20928955078125,-11.688232421875
3,1,73.108,12.70751953125,-20.22247314453125,-13.50555419921875
3,1,73.313,13.32244873046875,-21.6278076171875,-14.33258056640625
3,1,73.503,11.60736083984375,-22.42279052734375,-16.14990234375
3,1,73.705,12.4114990234375,-23.13232421875,-14.166259765625
3,1,73.908,12.98370361328125,-21.0418701171875,-13.671875
3,1,74.11199999999999,13.97705078125,-21.0540771484375,-14.166259765625
3,1,74.309,14.508056640625,-20.9442138671875,-13.34075927734375
